"Parasite.species","n_lcdb","n_pubmed_spname","n_pubmed_spname_group"
"Pediobothrium sp.",1,0,0
"Pharurus pallasii",3,0,0
"Philometra abdominalis",4,0,0
"Philometra cylindracea",2,1,1
"Philometra kotlani",1,0,0
"Philometra obturans",5,5,5
"Philometra ovata",3,5,5
"Philometra overstreeti",3,5,5
"Philometra rischta",2,1,0
"Philometroides cyprini",3,2,2
"Philometroides huronensis",3,4,4
"Philometroides moraveci",1,0,0
"Philometroides nodulosa",2,0,0
"Philometroides paralichthydis",3,6,6
"Philometroides sanguinea",5,0,0
"Philonema agubernaculum",4,0,0
"Philonema oncorhynchi",6,6,6
"Philonema sibirica",4,0,0
"Phoreiobothrium sp. 1",1,0,0
"Physaloptera hispida",2,1,1
"Physaloptera maxillaris",6,5,5
"Physaloptera praeputialis",5,14,12
"Physaloptera rara",7,13,10
"Physocephalus dromedarii",3,3,3
"Physocephalus sexalatus",9,31,22
"Placoconus lotoris",1,0,0
"Plagiorhynchus cylindraceus",11,7,5
"Platyscolex ciliata",8,2,2
"Pneumostrongylus calcaratus",2,5,4
"Poecilancistrium caryophyllum",4,2,2
"Polydelphis anoura",4,0,0
"Polymorphus cincli",1,0,0
"Polymorphus contortus",4,1,1
"Polymorphus marilis",6,0,0
"Polymorphus minutus",12,71,69
"Polymorphus paradoxus",6,3,3
"Polymorphus trochus",2,0,0
"Polyonchobothrium clarias",4,5,4
"Polyonchobothrium ophiocephalina",1,0,0
"Pomphorhynchus bulbocolli",7,14,12
"Pomphorhynchus laevis",14,135,125
"Porrocaecum angusticolle",3,4,3
"Porrocaecum crassum",5,2,2
"Porrocaecum ensicaudatum",8,3,3
"Porrocaecum semiteres",3,4,4
"Procamallanus fukiensis",1,0,0
"Procamallanus laeviconchus",3,6,6
"Procamallanus neocaballeroi",2,0,0
"Procamallanus rebecae",3,0,0
"Procamallanus saccobranchi",1,0,0
"Procamallanus spiculogubernaculus",2,1,1
"Prochristianella hispida",5,0,0
"Procyrnea zorillae",1,0,0
"Profilicollis altmani",4,6,6
"Profilicollis botulus",6,3,3
"Profilicollis brevis",6,0,0
"Profilicollis chasmagnathi",4,6,6
"Profilicollis novaezelandensis",4,1,1
"Proleptus niedmanni",2,0,0
"Proleptus obtusus",7,3,2
"Prosthenorchis elegans",4,9,6
"Protenema longispicula",1,0,0
"Proteocephalus ambiguus",3,1,1
"Proteocephalus ambloplitis",8,6,4
"Proteocephalus cernuae",3,0,0
"Proteocephalus filicollis",7,5,3
"Proteocephalus fluviatilis",2,0,0
"Proteocephalus longicollis",18,23,20
"Proteocephalus macrocephalus",5,15,11
"Proteocephalus osculatus",2,5,4
"Proteocephalus pearsei",2,0,0
"Proteocephalus percae",9,18,16
"Proteocephalus thymalli",2,2,2
"Proteocephalus torulosus",6,12,10
"Protospirura muricola",3,15,14
"Protospirura numidica",6,11,8
"Protostrongylus boughtoni",3,4,3
"Protostrongylus cuniculorum",2,1,1
"Protostrongylus davtiani",2,0,0
