"Host","Parasite","ParasiteFull"
"Cottus scorpius","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Ctenolabrus rupestris","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Dasyatis centrura","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Dipturus oxyrinchus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Dissostichus eleginoides","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Eutrigla gurnardus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Gadus morhua","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Glyptocephalus cynoglossus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Hemitripterus americanus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Hippoglossoides platessoides","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Hippoglossus hippoglossus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Labrus mixtus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Leiostomus xanthurus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Leucoraja fullonica","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Limanda aspera","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Limanda aspersa","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Limanda ferruginea","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Limanda limanda","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Lophius piscatorius","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Lophopsetta maculata","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Macrourus carinatus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Melanogloea ventralis","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Melanogrammus aeglefinus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Menidia notata","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Menticirrhus saxatilis","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Merlangius merlangus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Merlangius merlangus euxinus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Merluccius bilinearis","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Merluccius hubbsi","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Merluccius merluccius","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Microgadus tomcod","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Micromesistius poutassou","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Mullus surmuletus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Myliobatis freminvillei","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Myoxocephalus aeneus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Myoxocephalus octodecemspinosus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Narcacion nobilianus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Nezumia bairdi","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Odontogadus merlangus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Ophiodon elongatus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Osmerus eperlanus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Osmerus mordax","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Otoperca aurita","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Pagrus pagrus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Palinurichthys perciformis","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Paralichthys dentatus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Paralichthys microcephalus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Pleuronectes platessa","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Pollachius pollachius","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Pollachius virens","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Pomolobus pseudoharengus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Porichthys porosissimus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Poronotus triacanthus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Prionotus carolinus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Prionotus strigatus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Pseudopleuronectes americanus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja batis","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja brachyura","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja circularis","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja clavata","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja eglanteria","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja erinacea","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja fullonica","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja laevis","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja maculata","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja microocellata","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja miraletus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja naevus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja ocellata","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja oxyrhynchus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja punctatus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja radiata","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja rubus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Reinhardtius hippoglossoides","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Salmo salar","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Sarda sarda","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Sardina pilchardus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Sardinella pilchardus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Scomber japonicus colias","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Scomber scombrus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Scophthalmus maximus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
