"Parasite.species","Host.species","best_host_name"
"Acanthocephalus sp.","Acipenser baeri","Acipenser baerii"
"Acanthocephalus sp.","Ambystoma talpoideum","Ambystoma talpoideum"
"Acanthocephalus sp.","Anguilla rostrata","Anguilla rostrata"
"Acanthocephalus sp.","Apalone ferox","Apalone ferox"
"Acanthocephalus sp.","Asellus hilgendorfi","Asellus hilgendorfi"
"Acanthocephalus sp.","Barbus barbus bocagei","Barbus barbus"
"Acanthocephalus sp.","Barbus bocagei","Luciobarbus bocagei"
"Acanthocephalus sp.","Bufo regularis","Amietophrynus regularis"
"Acanthocephalus sp.","Chaenogobius annularis","Chaenogobius annularis"
"Acanthocephalus sp.","Chaenogobius urotaenia","Gymnogobius urotaenia"
"Acanthocephalus sp.","Chanos chanos","Chanos chanos"
"Acanthocephalus sp.","Clarias macrocephalus","Clarias macrocephalus"
"Acanthocephalus sp.","Cnemidophorus uniparens","Aspidoscelis uniparens"
"Acanthocephalus sp.","Cophosaurus texanus scitulus","Cophosaurus texanus"
"Acanthocephalus sp.","Cottus nozawae","Cottus nozawae"
"Acanthocephalus sp.","Cyprinus carpio","Cyprinus carpio"
"Acanthocephalus sp.","Epinephelus malabaricus","Epinephelus malabaricus"
"Acanthocephalus sp.","Fundulus diaphanus","Fundulus diaphanus"
"Acanthocephalus sp.","Galaxias maculatus","Galaxias maculatus"
"Acanthocephalus sp.","Hyla caerulea","Hyla caerulea"
"Acanthocephalus sp.","Hyla peronii","Hyla peronii"
"Acanthocephalus sp.","Ictalurus nebulosus","Ameiurus nebulosus"
"Acanthocephalus sp.","Leuciscus cephalus","Squalius cephalus"
"Acanthocephalus sp.","Leuciscus idus","Leuciscus idus"
"Acanthocephalus sp.","Lutra canadensis","Lontra canadensis"
"Acanthocephalus sp.","Nemachilus barbatulus","Barbatula barbatula"
"Acanthocephalus sp.","Nezumia bairdi","Nezumia bairdii"
"Acanthocephalus sp.","Oncorhynchus masou","Oncorhynchus masou"
"Acanthocephalus sp.","Oncorhynchus mykiss","Oncorhynchus mykiss"
"Acanthocephalus sp.","Percichthys trucha","Percichthys trucha"
"Acanthocephalus sp.","Salmo trutta","Salmo trutta"
"Acanthocephalus sp.","Sarotherodon melanotheron","Sarotherodon melanotheron"
"Acanthocephalus sp.","Sceloporus jarrovii jarrovii","Sceloporus jarrovii"
"Acanthocephalus sp.","Siren intermedia","Siren intermedia"
"Acanthocephalus sp.","Rana temporaria","Rana temporaria"
"Metacanthocephalus sp.","Notothenia coriiceps","Notothenia coriiceps"
"Paracanthocephalus sp.","Lepomis gibbosus","Lepomis gibbosus"
"Acanthocephalus tumescens","Aplochiton taeniatus","Aplochiton taeniatus"
"Acanthocephalus tumescens","Atherinichthys microlepidotus","Atherinichthys microlepidota"
"Acanthocephalus tumescens","Diplomystes viedmensis","Olivaichthys viedmensis"
"Acanthocephalus tumescens","Galaxias maculatus","Galaxias maculatus"
"Acanthocephalus tumescens","Galaxias platei","Galaxias platei"
"Acanthocephalus tumescens","Olivaichthys viedmensis","Olivaichthys viedmensis"
"Acanthocephalus tumescens","Oncorhynchus mykiss","Oncorhynchus mykiss"
"Acanthocephalus tumescens","Patagonina hatcheri","Odontesthes hatcheri"
"Acanthocephalus tumescens","Percichthys colhuapiensis","Percichthys colhuapiensis"
"Acanthocephalus tumescens","Percichthys trucha","Percichthys trucha"
"Acanthocephalus tumescens","Salmo salar","Salmo salar"
"Acanthocephalus tumescens","Salmo salar var. sebago","Salmo salar"
"Acanthocephalus tumescens","Salmo trutta","Salmo trutta"
"Acanthocephalus tumescens","Salvelinus fontinalis","Salvelinus fontinalis"
"Acanthocephalus tumescens","Salvelinus namaycush","Salvelinus namaycush"
"Acanthogyrus dattai","Barbus stigma","Puntius stigma"
"Acanthogyrus dattai","Barbus ticto","Pethia ticto"
"Acanthogyrus dattai","Puntius sophore","Puntius sophore"
"Acanthosentis dattai","Barbus stigma","Puntius stigma"
"Acanthosentis dattai","Barbus ticto","Pethia ticto"
"Acanthosentis dattai","Puntius sophore","Puntius sophore"
"Acuaria anthuris","Acridotheres cristatellus cristatellus","Acridotheres cristatellus"
"Acuaria anthuris","Acridotheres grandis","Acridotheres grandis"
"Acuaria anthuris","Acridotheres tristis","Acridotheres tristis"
"Acuaria anthuris","Adesmia biseriata","Adesmia biseriata"
"Acuaria anthuris","Anthus sp.","Anthus sp."
"Acuaria anthuris","Calliptamus italicus","Calliptamus italicus"
"Acuaria anthuris","Cinclus cinclus","Cinclus cinclus"
"Acuaria anthuris","Cinclus pallasi","Cinclus pallasi"
"Acuaria anthuris","Cissa erythrorhyncha erythrorhyncha","Cissa erythrorhyncha"
"Acuaria anthuris","Coracias garrulus","Coracias garrulus"
"Acuaria anthuris","Corvus brachyrhynchos","Corvus brachyrhynchos"
"Acuaria anthuris","Corvus corax","Corvus corax"
"Acuaria anthuris","Corvus cornix","Corvus cornix"
"Acuaria anthuris","Corvus corone","Corvus corone"
"Acuaria anthuris","Corvus corone orientalis","Corvus corone"
"Acuaria anthuris","Corvus frugilegus","Corvus frugilegus"
"Acuaria anthuris","Corvus splendens","Corvus splendens"
"Acuaria anthuris","Dendrocitta vagabonda","Dendrocitta vagabunda"
"Acuaria anthuris","Eremophila alpestris","Eremophila alpestris"
"Acuaria anthuris","Gammarus lacustris","Gammarus lacustris"
"Acuaria anthuris","Garrulus glandarius","Garrulus glandarius"
"Acuaria anthuris","Gracupica nigricollis","Gracupica nigricollis"
"Acuaria anthuris","Myophonus caeruleus","Myophonus caeruleus"
"Acuaria anthuris","Passer domesticus","Passer domesticus"
"Acuaria anthuris","Pastor roseus","Pastor roseus"
"Acuaria anthuris","Pericrocotus ethologos","Pericrocotus ethologus"
"Acuaria anthuris","Pica pica","Pica pica"
"Acuaria anthuris","Pica pica sericia","Pica pica"
"Acuaria anthuris","Pisterotarsa gigantea","Pisterotarsa gigantea"
"Acuaria anthuris","Pyrrhocorax pyrrhocorax","Pyrrhocorax pyrrhocorax"
"Acuaria anthuris","Spodiopsar sericeus","Spodiopsar sericeus"
"Acuaria anthuris","Sturnus burmanicus","Sturnus burmanicus"
"Acuaria anthuris","Sturnus vulgaris","Sturnus vulgaris"
"Acuaria anthuris","Tephrodornix gularis","Tephrodornis virgatus"
"Acuaria gruveli","Alectoris barbara","Alectoris barbara"
"Acuaria gruveli","Alectoris chukar","Alectoris chukar"
"Acuaria gruveli","Alectoris kakelik","Alectoris kakelik"
"Acuaria gruveli","Alectoris rufa","Alectoris rufa"
"Acuaria gruveli","Bubo bubo","Bubo bubo"
"Acuaria gruveli","Coturnix coturnix","Coturnix coturnix"
"Acuaria gruveli","Coturnix japonica","Coturnix japonica"
"Acuaria gruveli","Garrulus glandarius","Garrulus glandarius"
"Acuaria gruveli","Perdix daurica","Perdix daurica"
"Acuaria gruveli","Perdix perdix","Perdix perdix"
"Acuaria gruveli","Phasianus colchicus","Phasianus colchicus"
"Acuaria gruveli","Tetrao tetrix","Lyrurus tetrix"
"Acuaria gruveli","Tetraogallus himalayensis","Tetraogallus himalayensis"
"Acuaria hamulosa","Adesmia biseriata","Adesmia biseriata"
"Acuaria hamulosa","Alectoris chukar","Alectoris chukar"
"Acuaria hamulosa","Alectoris graeca","Alectoris graeca"
"Acuaria hamulosa","Alectoris graeca saxatilis","Alectoris graeca"
"Acuaria hamulosa","Columba livia","Columba livia"
"Acuaria hamulosa","Coturnix coturnix","Coturnix coturnix"
"Acuaria hamulosa","Gallus domesticus","Gallus domesticus"
"Acuaria hamulosa","Gallus gallus","Gallus gallus"
"Acuaria hamulosa","Gallus gallus domesticus","Gallus gallus"
"Acuaria hamulosa","Numida meleagris","Numida meleagris"
